Scan Title,Short Title,Date,Dyn lo,Dyn hi
090523_Vivo_hCG13p5h_500x300_3x4_Bscan8p353.ims,090523_hCG13p5h,9/5/2023,30,111
042623_Vivo_hCG13h_500x500_3x5_Bscan8p353.ims,042623_hCG13h,4/26/2023,26,94
042623_Vivo_hCG13p5h_500x500_3x5_Bscan8p353.ims,042623_hCG13p5h,4/26/2023,27,97
100325_Vivo_hCG11h_500x500_3x4_Bscan8p353_3.ims,100325_hCG11h,10/3/2025,33,122
050825_Vivo_hCG11h_500x300_3x3_Bscan8p353.ims,050825_hCG11h,5/8/2025,30,114
091223_Vivo_hCG12h_500x300_4x4_Bscan8p353.ims,091223_hCG12h,9/12/2023,27,119
013124_Vivo_hCG12P5h_500x500_4x4_Bscan8p353.ims,013124_hCG12P5h,1/31/2024,34,137
022124_Vivo_hCG12h_500x500_4x4_Bscan8p353_Ovulation!!_ShortVer.ims,022124_hCG12h,2/21/2024,34,128
022324_Vivo_hCG12h_500x500_4x6_Bscan8p353.ims,022324_hCG12h,2/23/2024,31,131
022824_Vivo_hCG12h_500x500_4x4_Bscan8p353_Ovulation!.ims,022824_hCG12h,2/28/2024,33,136
030624_Vivo_hCG12h_500x500_3x3_Bscan8p353_Ovulation!.ims,030624_hCG12h,3/6/2024,30,123
031124_Vivo_hCG12h_500x500_3x4_Bscan8p353_Ovulation!.ims,031124_hCG12h,3/11/2024,30,133
051623_Vivo_hCG12h_500x300_4x5_Bscan8p353_ShortVer(Frame321-520).ims,051623_hCG12h,5/16/2023,27,119
070122_Vivo_Ovary_500x500_2x1_BscanPeriod8p353_OVULATION.ims,070122_Ovary,7/1/2022,23,128
